# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
69 1.4522 1.25219 2.48
70 1.4734 1.3033 2.63
71 1.4946 1.26659 2.78
72 1.5158 1.23141 2.93
73 1.537 1.35736 3.1
74 1.5582 1.08762 3.24
75 1.5794 0.907385 3.36
76 1.6006 1.10438 3.51
77 1.6218 1.14741 3.67
78 1.643 1.04812 3.82
79 1.6642 0.681058 3.92
80 1.6854 0.996049 4.07
81 1.7066 0.906693 4.21
82 1.7278 0.821395 4.34
83 1.749 0.863265 4.48
84 1.7702 0.902906 4.63
85 1.7914 0.764107 4.76
86 1.8126 0.631517 4.87
87 1.8338 0.729182 5
88 1.855 0.877059 5.16
89 1.8762 1.07169 5.36
90 1.8974 1.57181 5.66
91 1.9186 0.768633 5.81
92 1.9398 0.802053 5.97
93 1.961 0.490503 6.07
94 1.9822 1.34419 6.35
95 2.0034 1.03391 6.57
96 2.0246 0.78229 6.74
97 2.0458 1.26191 7.02
